text,label
"Hi John, how are you? Let's catch up this week.",0
"Congratulations! You've won a free iPhone. Claim it now!",1
"Meeting reminder: Tomorrow at 10 AM in the conference room.",0
"URGENT! You have won a lottery prize of $100000. Contact us immediately.",1
"Thanks for the update. I'll review the documents and get back to you.",0
"Limited time offer: Get 50% off on all items. Shop now!",1
"Can you please send me the report by end of day?",0
"Your bank account has been compromised. Click here to secure it.",1
"Reminder: Doctor's appointment on Friday at 2 PM.",0
"You are the 1000th visitor! Click here to claim your reward.",1
